name,Data,Distancia_km,Distancia_Formatada,Duracao_min,Pace_Formatado,Pace_Segundos_por_km,average_speed,total_elevation_gain,moving_time
Afternoon Run,2025-11-08,5.422899999999999,5.42 km,29.55,05:26,326.9468365634624,3.059,13.5,1773
Evening Run,2025-11-03,5.0341000000000005,5.03 km,30.383333333333333,06:02,362.13027154804234,2.761,21.7,1823
Night Run,2025-10-22,3.2011999999999996,3.20 km,17.483333333333334,05:27,327.68961639385236,3.052,18.9,1049
Afternoon Run,2025-09-22,5.0092,5.01 km,22.2,04:25,265.9107242673481,3.761,16.7,1332
Afternoon Run,2025-09-15,5.0078000000000005,5.01 km,26.4,05:16,316.3065617636487,3.161,18.6,1584
Lunch Run,2025-08-25,5.1078,5.11 km,25.766666666666666,05:02,302.6743412036493,3.304,10.6,1546
Morning Run,2025-08-10,22.0013,22.00 km,131.4,05:58,358.3424615818156,2.791,151.9,7884
Night Run,2025-08-05,4.999899999999999,5.00 km,23.866666666666667,04:46,286.40572811456235,3.492,10.4,1432
Night Run,2025-07-22,5.0261000000000005,5.03 km,26.65,05:18,318.1393127872505,3.143,20.7,1599
Morning Run,2025-07-19,10.0007,10.00 km,55.03333333333333,05:30,330.1768876178667,3.029,32.0,3302
Lunch Run,2025-07-12,5.001399999999999,5.00 km,23.9,04:46,286.71971847882594,3.488,5.6,1434
Evening Run,2025-07-07,5.0028999999999995,5.00 km,28.183333333333334,05:38,338.0039577045314,2.959,17.2,1691
Night Run,2025-07-03,4.0073,4.01 km,22.866666666666667,05:42,342.375165323285,2.921,18.3,1372
Evening Run,2025-07-01,5.023899999999999,5.02 km,28.683333333333334,05:42,342.56255100619046,2.919,19.4,1721
Lunch Run,2025-06-14,5.0004,5.00 km,28.166666666666668,05:37,337.972962163027,2.959,5.7,1690
Afternoon Run,2025-06-10,5.0226999999999995,5.02 km,25.733333333333334,05:07,307.4043840962033,3.253,16.6,1544
Afternoon Run,2025-05-20,4.1592,4.16 km,20.733333333333334,04:59,299.09597999615306,3.343,20.7,1244
Morning run,2025-05-18,10.0383,10.04 km,59.1,05:53,353.2470637458534,2.831,88.6,3546
Afternoon Run,2025-05-15,3.0015,3.00 km,15.5,05:09,309.84507746126934,3.227,16.8,930
Afternoon Run,2025-05-12,3.0036,3.00 km,15.583333333333334,05:11,311.2931149287522,3.212,16.4,935
Morning Run,2025-05-05,5.0489,5.05 km,26.416666666666668,05:13,313.92976687991444,3.185,19.9,1585
Afternoon Run,2025-04-24,3.0109,3.01 km,15.466666666666667,05:08,308.21349098276266,3.245,16.4,928
Morning Run,2025-04-20,5.002,5.00 km,22.716666666666665,04:32,272.4910035985606,3.67,5.6,1363
Morning Run,2025-04-20,0.522,0.52 km,2.9166666666666665,05:35,335.2490421455939,2.983,14.4,175
Afternoon Run,2025-04-15,2.0671999999999997,2.07 km,11.233333333333333,05:26,326.0448916408669,3.067,8.1,674
Afternoon Run,2025-04-15,1.6064,1.61 km,8.15,05:04,304.40737051792826,3.285,2.2,489
Afternoon Run,2025-04-15,1.1438,1.14 km,5.583333333333333,04:52,292.88337121874457,3.414,0.0,335
12pm run,2025-04-05,4.0062,4.01 km,21.15,05:16,316.759023513554,3.157,10.5,1269
Afternoon Run,2025-03-25,3.3439,3.34 km,23.75,07:06,426.14910732976466,2.347,5.6,1425
Afternoon Run,2025-03-11,7.8153999999999995,7.82 km,24.3,03:06,186.55475087647466,5.36,26.3,1458
Evening Run,2025-02-17,1.0263,1.03 km,3.1166666666666667,03:02,182.2079314040729,5.488,0.0,187
Corrida ao entardecer,2025-02-17,1.2645,1.26 km,5.316666666666666,04:12,252.27362593910638,3.964,19.3,319
Corrida vespertina,2025-02-12,5.6066,5.61 km,20.433333333333334,03:38,218.67085220989546,4.573,10.1,1226
Corrida vespertina,2025-02-12,1.6038,1.60 km,8.35,05:12,312.38309016086794,3.201,16.6,501
